cmet_id,realm,ballot,release,ballot_level,ballot_status,notes
COCT_MT030000,UV,2004-Jan,R01,member,Accepted,
COCT_MT030000,UV,2005-May,R04,committee,Accepted,
COCT_MT030000,UV,2005-Sep,R04,member,Accepted,
COCT_MT030000,UV,2007-Sep,R09,committee,Failed,
COCT_MT030000,UV,2008-May,R09,committee,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030000,UV,2008-Sep,R09,member,Failed,No info in Master List; making assumptions from balloting documentation
COCT_MT030000,UV,2009-Jan,R09,member,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030000,UV,2012-Sep,R09,reaffirm,Accepted,
COCT_MT030002,UV,2004-Jan,R01,member,Accepted,
COCT_MT030002,UV,2007-Sep,R07,committee,Accepted,
COCT_MT030002,UV,2008-May,R07,member,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030002,UV,2012-Sep,R07,reaffirm,Accepted,
COCT_MT030100,UV,2004-Jan,R01,member,Accepted,
COCT_MT030100,UV,2006-May,R09,committee,Failed,
COCT_MT030100,UV,2007-Sep,R09,committee,Failed,No info in Master List; making assumptions from balloting documentation
COCT_MT030100,UV,2008-May,R09,committee,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030100,UV,2008-Sep,R09,member,Failed,No info in Master List; making assumptions from balloting documentation
COCT_MT030100,UV,2009-Jan,R09,member,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030100,UV,2012-Sep,R09,reaffirm,Accepted,
COCT_MT030101,UV,2004-Jan,R01,member,Accepted,
COCT_MT030101,UV,2006-May,R07,committee,Failed,
COCT_MT030101,UV,2007-Sep,R07,committee,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030101,UV,2008-May,R07,member,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030101,UV,2012-Sep,R07,reaffirm,Accepted,
COCT_MT030102,UV,2004-Jan,R01,member,Accepted,
COCT_MT030102,UV,2006-May,R07,committee,Failed,
COCT_MT030102,UV,2007-Sep,R07,committee,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030102,UV,2008-May,R07,member,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030102,UV,2012-Sep,R07,reaffirm,Accepted,
COCT_MT030107,UV,2006-Jan,R07,committee,Failed,
COCT_MT030107,UV,2006-May,R07,committee,Failed,
COCT_MT030107,UV,2007-Sep,R07,committee,Failed,Master list wasn't clear; making assumptions from balloting documentation that the next level was member
COCT_MT030107,UV,2008-May,R07,committee,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030107,UV,2008-Sep,R07,member,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030107,UV,2012-Sep,R07,reaffirm,Accepted,
COCT_MT030108,UV,2006-Jan,R07,committee,Failed,
COCT_MT030108,UV,2006-May,R07,committee,Failed,
COCT_MT030108,UV,2007-Sep,R07,committee,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030108,UV,2008-May,R07,member,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030108,UV,2012-Sep,R07,reaffirm,Accepted,
COCT_MT030200,UV,2004-Jan,R01,member,Accepted,
COCT_MT030200,UV,2005-May,R09,committee,Accepted,
COCT_MT030200,UV,2005-Sep,R09,member,Failed,
COCT_MT030200,UV,2006-Jan,R09,committee,Failed,
COCT_MT030200,UV,2006-May,R09,committee,Failed,
COCT_MT030200,UV,2007-May,R09,committee,Failed,Master list wasn't clear; making assumptions from balloting documentation that the next level was member
COCT_MT030200,UV,2007-Sep,R09,committee,Failed,Master list wasn't clear with the disposition; making assumptions from balloting documentation that the next level was member
COCT_MT030200,UV,2008-May,R09,committee,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030200,UV,2008-Sep,R09,member,Failed,No info in Master List; making assumptions from balloting documentation
COCT_MT030200,UV,2009-Jan,R09,member,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030200,UV,2012-Sep,R09,reaffirm,Accepted,
COCT_MT030201,UV,2004-Jan,R01,member,Accepted,"Ballot history info only resided in the CMET Master List spreadsheet; did not have CMET info in ballot documentation until January, 2005"
COCT_MT030201,UV,2007-May,R07,committee,Accepted,No info in Master List; making assumptions from balloting documentation
COCT_MT030201,UV,2007-Sep,R07,member,Accepted,
COCT_MT030201,UV,2012-Sep,R07,reaffirm,Accepted,
COCT_MT030202,UV,2004-Jan,R01,member,Accepted,"Ballot history info only resided in the CMET Master List spreadsheet; did not have CMET info in ballot documentation until January, 2005"
COCT_MT030202,UV,2007-May,R07,committee,Failed,No info in Master List; making assumptions from balloting documentation
COCT_MT030202,UV,2007-Sep,R07,committee,Accepted,Master list wasn't clear with the disposition; making assumptions from balloting documentation that the next level was member
COCT_MT030202,UV,2008-May,R07,member,Accepted,Master list wasn't clear with the disposition; making assumptions from balloting documentation that the next level was member
COCT_MT030202,UV,2012-Sep,R07,reaffirm,Accepted,
COCT_MT030203,UV,2004-Jan,R02,committee,Accepted,"Ballot history info only resided in the CMET Master List spreadsheet; did not have CMET info in ballot documentation until January, 2005"
COCT_MT030203,UV,2004-May,R02,member,Accepted,"Ballot history info only resided in the CMET Master List spreadsheet; did not have CMET info in ballot documentation until January, 2005"
COCT_MT030203,UV,2007-May,R07,committee,Accepted,No info in Master List
COCT_MT030203,UV,2007-Sep,R07,member,Accepted,Master list wasn't clear with the disposition; making assumptions from balloting documentation that the next level was member
COCT_MT030203,UV,2012-Sep,R07,reaffirm,Accepted,
COCT_MT030207,UV,2006-Jan,R07,committee,Failed,
COCT_MT030207,UV,2006-May,R07,committee,Failed,
