cycle,open,close,created_date,update_date
2004-Jan,2003-12-01,2004-01-01,2015-01-20,2015-01-20
2004-May,2004-04-01,2004-05-01,2015-01-20,2015-01-20
2004-Sep,2004-08-01,2004-09-01,2015-01-20,2015-01-20
2005-Jan,2004-12-01,2005-01-01,2015-01-20,2015-01-20
2005-May,2005-04-01,2005-05-01,2015-01-20,2015-01-20
2005-Sep,2005-08-01,2005-09-01,2015-01-20,2015-01-20
2006-Jan,2005-11-24,2005-12-24,2015-01-20,2015-01-20
2006-May,2006-03-29,2006-04-29,2015-01-20,2015-01-20
2006-Sep,2006-08-02,2006-09-02,2015-01-20,2015-01-20
2007-Jan,2006-11-30,2006-12-30,2015-01-20,2015-01-20
2007-May,2010-03-23,2010-04-23,2015-01-20,2015-01-20
2007-Sep,2010-08-10,2010-09-10,2015-01-20,2015-01-20
2008-Jan,2007-12-07,2008-01-07,2015-01-20,2015-01-20
2008-May,2008-05-28,2008-04-28,2015-01-20,2015-01-20
2008-Sep,2008-08-08,2008-09-08,2015-01-20,2015-01-20
2009-Jan,2008-12-05,2009-01-05,2015-01-20,2015-01-20
2009-May,2009-03-30,2009-04-30,2015-01-20,2015-01-20
2009-Sep,2009-08-14,2009-09-14,2015-01-20,2015-01-20
2010-Jan,2009-12-11,2010-01-11,2015-01-20,2015-01-20
2010-May,2010-04-09,2010-05-09,2015-01-20,2015-01-20
2010-Sep,2010-08-27,2010-09-27,2015-01-20,2015-01-20
2011-Jan,2010-12-02,2011-01-02,2015-01-20,2015-01-20
2011-May,2011-04-09,2011-05-09,2015-01-20,2015-01-20
2011-Sep,2011-08-06,2011-09-06,2015-01-20,2015-01-20
2012-Jan,2011-12-09,2012-01-09,2015-01-20,2015-01-20
2012-May,2012-04-07,2012-05-07,2015-01-20,2015-01-20
2012-Sep,2012-08-04,2012-09-04,2015-01-20,2015-01-20
2013-Jan,2012-12-07,2013-01-07,2015-01-20,2015-01-20
2013-May,2013-03-29,2013-04-29,2015-01-20,2015-01-20
2013-Sep,2013-08-16,2013-09-16,2015-01-20,2015-01-20
2014-Jan,2013-12-13,2014-01-13,2015-01-20,2015-01-20
2014-May,2014-03-28,2014-04-28,2015-01-20,2015-01-20
2014-Sep,2014-08-08,2014-09-08,2015-01-20,2015-01-20
