id,cmet_id,realm,release,status,status_date,created_at,updated_at
1,COCT_MT010000,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
2,COCT_MT010001,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
3,COCT_MT010004,UV,R02,active,2004-05-01,2015-01-19,2015-01-19
4,COCT_MT010007,UV,,retired,2006-04-29,2015-01-19,2015-01-19
5,COCT_MT020000,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
6,COCT_MT020000,UV,R10,dstu,2010-05-09,2015-01-19,2015-01-19
7,COCT_MT020001,UV,R10,dstu,2010-05-09,2015-01-19,2015-01-19
8,COCT_MT020002,UV,,I,,2015-01-19,2015-01-19
9,COCT_MT030000,UV,R09,active,2009-04-30,2015-01-19,2015-01-19
10,COCT_MT030000,UV,R04,replaced,2005-09-01,2015-01-19,2015-01-19
11,COCT_MT030000,UV,R01,replaced,2004-01-01,2015-01-19,2015-01-19
12,COCT_MT030002,UV,R01,replaced,2004-01-01,2015-01-19,2015-01-19
13,COCT_MT030002,UV,R07,active,2008-09-08,2015-01-19,2015-01-19
14,COCT_MT030007,UV,,retired,2006-04-29,2015-01-19,2015-01-19
15,COCT_MT030100,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
16,COCT_MT030100,UV,,,,2015-01-19,2015-01-19
17,COCT_MT030101,UV,R01,replaced,2004-01-01,2015-01-19,2015-01-19
18,COCT_MT030101,UV,R07,active,2008-09-08,2015-01-19,2015-01-19
19,COCT_MT030102,UV,R01,replaced,2004-01-01,2015-01-19,2015-01-19
20,COCT_MT030102,UV,R07,active,2008-09-08,2015-01-19,2015-01-19
21,COCT_MT030107,UV,R07,active,2009-01-05,2015-01-19,2015-01-19
22,COCT_MT030108,UV,R07,active,2008-09-08,2015-01-19,2015-01-19
23,COCT_MT030200,UV,R01,replaced,2004-01-01,2015-01-19,2015-01-19
24,COCT_MT030200,UV,R09,active,2009-04-30,2015-01-19,2015-01-19
25,COCT_MT030201,UV,R01,replaced,2004-01-01,2015-01-19,2015-01-19
26,COCT_MT030201,UV,R07,active,2008-04-28,2015-01-19,2015-01-19
27,COCT_MT030202,UV,R01,replaced,2004-01-01,2015-01-19,2015-01-19
28,COCT_MT030202,UV,R07,active,2008-09-08,2015-01-19,2015-01-19
29,COCT_MT030203,UV,R02,replaced,2004-05-01,2015-01-19,2015-01-19
30,COCT_MT030203,UV,R07,active,2008-04-28,2015-01-19,2015-01-19
31,COCT_MT030207,UV,R07,active,2009-01-05,2015-01-19,2015-01-19
32,COCT_MT040000,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
33,COCT_MT040001,UV,,retired,2006-04-29,2015-01-19,2015-01-19
34,COCT_MT040007,UV,,retired,2006-04-29,2015-01-19,2015-01-19
35,COCT_MT040008,UV,,retired,2006-04-29,2015-01-19,2015-01-19
36,COCT_MT040200,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
37,COCT_MT040203,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
38,COCT_MT040205,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
39,COCT_MT040207,UV,,retired,2006-04-29,2015-01-19,2015-01-19
40,COCT_MT040208,UV,,retired,2006-04-29,2015-01-19,2015-01-19
41,COCT_MT040300,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
42,COCT_MT050000,UV,R01,replaced,2004-01-01,2015-01-19,2015-01-19
43,COCT_MT050000,UV,R10,active,2010-05-09,2015-01-19,2015-01-19
44,COCT_MT050001,UV,R01,replaced,2004-01-01,2015-01-19,2015-01-19
45,COCT_MT050001,UV,R07,active,2008-04-28,2015-01-19,2015-01-19
46,COCT_MT050002,UV,R04,replaced,2004-05-01,2015-01-19,2015-01-19
47,COCT_MT050002,UV,R07,active,2008-09-08,2015-01-19,2015-01-19
48,COCT_MT050003,UV,R04,replaced,,2015-01-19,2015-01-19
49,COCT_MT050003,UV,R09,active,2009-04-30,2015-01-19,2015-01-19
50,COCT_MT050004,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
51,COCT_MT050007,UV,R08,active,2008-09-08,2015-01-19,2015-01-19
52,COCT_MT050100,UV,R02,active,2004-05-01,2015-01-19,2015-01-19
53,COCT_MT050203,UV,R01,N,2004-01-01,2015-01-19,2015-01-19
54,COCT_MT050203,UV,,M,2008-04-28,2015-01-19,2015-01-19
55,COCT_MT050207,UV,R07,active,2008-01-07,2015-01-19,2015-01-19
56,COCT_MT050208,UV,R07,active,2008-01-07,2015-01-19,2015-01-19
57,COCT_MT060000,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
58,COCT_MT070000,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
59,COCT_MT070001,UV,R02,active,2004-05-01,2015-01-19,2015-01-19
60,COCT_MT070002,UV,R02,active,2004-05-01,2015-01-19,2015-01-19
61,COCT_MT070003,UV,R02,active,2004-05-01,2015-01-19,2015-01-19
62,COCT_MT070007,UV,,retired,2006-04-29,2015-01-19,2015-01-19
63,COCT_MT070008,UV,,retired,2006-04-29,2015-01-19,2015-01-19
64,COCT_MT080000,UV,R09,active,2009-04-30,2015-01-19,2015-01-19
65,COCT_MT080100,UV,R09,active,2009-04-30,2015-01-19,2015-01-19
66,COCT_MT080200,UV,R09,active,2009-04-30,2015-01-19,2015-01-19
67,COCT_MT090000,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
68,COCT_MT090000,UV,,C,2006-04-29,2015-01-19,2015-01-19
69,COCT_MT090001,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
70,COCT_MT090002,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
71,COCT_MT090002,UV,,C,2006-04-29,2015-01-19,2015-01-19
72,COCT_MT090003,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
73,COCT_MT090003,UV,,C,2006-04-29,2015-01-19,2015-01-19
74,COCT_MT090007,UV,,C,2006-04-29,2015-01-19,2015-01-19
75,COCT_MT090008,UV,,C,2006-04-29,2015-01-19,2015-01-19
76,COCT_MT090100,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
77,COCT_MT090101,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
78,COCT_MT090102,UV,R02,active,2004-05-01,2015-01-19,2015-01-19
79,COCT_MT090103,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
80,COCT_MT090107,UV,,C,2006-04-29,2015-01-19,2015-01-19
81,COCT_MT090108,UV,,C,2006-04-29,2015-01-19,2015-01-19
82,COCT_MT090200,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
83,COCT_MT090201,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
84,COCT_MT090202,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
85,COCT_MT090203,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
86,COCT_MT090207,UV,,C,2006-04-29,2015-01-19,2015-01-19
87,COCT_MT090208,UV,,C,2006-04-29,2015-01-19,2015-01-19
88,COCT_MT090300,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
89,COCT_MT090301,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
90,COCT_MT090302,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
91,COCT_MT090303,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
92,COCT_MT090307,UV,,C,2005-12-24,2015-01-19,2015-01-19
93,COCT_MT090308,UV,,C,2005-12-24,2015-01-19,2015-01-19
94,COCT_MT090400,UV,,C,2006-04-29,2015-01-19,2015-01-19
95,COCT_MT090401,UV,,C,2006-04-29,2015-01-19,2015-01-19
96,COCT_MT090402,UV,,C,2006-04-29,2015-01-19,2015-01-19
97,COCT_MT090403,UV,,C,2006-04-29,2015-01-19,2015-01-19
98,COCT_MT090407,UV,,C,2006-04-29,2015-01-19,2015-01-19
99,COCT_MT090408,UV,,C,2006-04-29,2015-01-19,2015-01-19
100,COCT_MT110000,UV,R01,replaced,2004-01-01,2015-01-19,2015-01-19
101,COCT_MT110000,UV,R04,active,2005-09-01,2015-01-19,2015-01-19
102,COCT_MT110001,UV,R01,active,2004-01-01,2015-01-19,2015-01-19
103,COCT_MT110100,UV,R01,replaced,2004-01-01,2015-01-19,2015-01-19
104,COCT_MT110100,UV,R04,active,2005-09-01,2015-01-19,2015-01-19
105,COCT_MT110101,UV,R04,active,2005-09-01,2015-01-19,2015-01-19
106,COCT_MT110102,UV,R04,active,2005-09-01,2015-01-19,2015-01-19
107,COCT_MT110200,UV,R01,replaced,2004-01-01,2015-01-19,2015-01-19
108,COCT_MT110200,UV,R04,active,2005-09-01,2015-01-19,2015-01-19
109,COCT_MT110201,UV,R04,active,2005-09-01,2015-01-19,2015-01-19
110,COCT_MT110202,UV,R04,active,2005-09-01,2015-01-19,2015-01-19
111,COCT_MT110300,UV,R01,replaced,2004-01-01,2015-01-19,2015-01-19
112,COCT_MT110300,UV,R04,active,2005-09-01,2015-01-19,2015-01-19
113,COCT_MT120000,UV,,C,2006-12-30,2015-01-19,2015-01-19
114,COCT_MT120100,UV,,M,2010-09-10,2015-01-19,2015-01-19
115,COCT_MT120104,UV,,M,2010-09-10,2015-01-19,2015-01-19
116,COCT_MT120300,UV,,M,2010-09-10,2015-01-19,2015-01-19
117,COCT_MT120500,UV,,M,2010-09-10,2015-01-19,2015-01-19
118,COCT_MT140000,UV,R02,active,2004-05-01,2015-01-19,2015-01-19
119,COCT_MT140001,UV,,C,2006-04-29,2015-01-19,2015-01-19
