artifactId,name,attributionLevel
COCT_MT010000,A_Encounter,universal
COCT_MT010001,A_Encounter,identified
COCT_MT010004,A_Encounter,minimal
COCT_MT010007,A_Encounter,informational
COCT_MT020000,A_Appointment,universal
COCT_MT020001,A_Appointment,identified
COCT_MT020002,A_Appointment,identified/confirmable
COCT_MT030000,E_LivingSubject,universal
COCT_MT030002,E_LivingSubject,identified/confirmable
COCT_MT030007,E_LivingSubject,informational
COCT_MT030100,E_NonPersonLivingSubject,universal
COCT_MT030101,E_NonPersonLivingSubject,identified
COCT_MT030102,E_NonPersonLivingSubject,identified/confirmable
COCT_MT030107,E_NonPersonLivingSubject,informational
COCT_MT030108,E_NonPersonLivingSubject,identified/informational
COCT_MT030200,E_Person,universal
COCT_MT030201,E_Person,identified
COCT_MT030202,E_Person,identified/confirmable
COCT_MT030203,E_Person,contact
COCT_MT030207,E_Person,informational
COCT_MT040000,R_Responsible,universal
COCT_MT040001,R_Responsible,identified
COCT_MT040007,R_Responsible,informational
COCT_MT040008,R_Responsible,identified/informational
COCT_MT040200,R_ResponsibleParty,universal
COCT_MT040203,R_NotificationParty,contact
COCT_MT040205,R_ResponsibleParty,contact
COCT_MT040207,R_NotificationParty,informational
COCT_MT040208,R_NotificationParty,identified/informational
COCT_MT040300,R_ResponsibleOrganization,universal
COCT_MT050000,R_Patient,universal
COCT_MT050001,R_Patient,identified
COCT_MT050002,R_Patient,identified/confirmable
COCT_MT050003,R_Patient,contact
COCT_MT050004,R_Patient,clinical
COCT_MT050007,R_Patient,informational
COCT_MT050100,R_PatientLite,universal
COCT_MT050203,R_PatientPerson,contact
COCT_MT050207,R_PatientPerson,informational
COCT_MT050208,R_PatientPerson,identified/informational
COCT_MT060000,A_Transportation,universal
COCT_MT070000,R_LocationLocatedEntity,universal
COCT_MT070001,R_LocationLocatedEntity,identified
COCT_MT070002,R_LocationLocatedEntity,identified/confirmable
COCT_MT070003,R_LocationLocatedEntity,contact
COCT_MT070007,R_LocationLocatedEntity,informational
COCT_MT070008,R_LocationLocatedEntity,identified/informational
COCT_MT080000,R_Specimen,universal
COCT_MT080100,R_Specimen,minimal
COCT_MT080200,R_Specimen,lite
COCT_MT090000,R_AssignedEntity,universal
COCT_MT090001,R_AssignedEntity,identified
COCT_MT090002,R_AssignedEntity,identified/confirmable
COCT_MT090003,R_AssignedEntity,contact
COCT_MT090007,R_AssignedEntity,informational
COCT_MT090008,R_AssignedEntity,identified/informational
COCT_MT090100,R_AssignedPerson,universal
COCT_MT090101,R_AssignedPerson,identified
COCT_MT090102,R_AssignedPerson,identified/confirmable
COCT_MT090103,R_AssignedPerson,contact
COCT_MT090107,R_AssignedPerson,informational
COCT_MT090108,R_AssignedPerson,identified/informational
COCT_MT090200,R_AssignedOrganization,universal
COCT_MT090201,R_AssignedOrganization,identified
COCT_MT090202,R_AssignedOrganization,identified/confirmable
COCT_MT090203,R_AssignedOrganization,contact
COCT_MT090207,R_AssignedOrganization,informational
COCT_MT090208,R_AssignedOrganization,identified/informational
COCT_MT090300,R_AssignedDevice,universal
COCT_MT090301,R_AssignedDevice,identified
COCT_MT090302,R_AssignedDevice,identified/confirmable
COCT_MT090303,R_AssignedDevice,contact
COCT_MT090307,R_AssignedDevice,informational
COCT_MT090308,R_AssignedDevice,identified/informational
COCT_MT090400,R_AssignedParty,universal
COCT_MT090401,R_AssignedParty,identified
COCT_MT090402,R_AssignedParty,identified/confirmable
COCT_MT090403,R_AssignedParty,contact
COCT_MT090407,R_AssignedParty,informational
COCT_MT090408,R_AssignedParty,identified/informational
COCT_MT110000,A_Account,universal
COCT_MT110001,A_Account,identified
COCT_MT110100,A_AccountPayor,universal
COCT_MT110101,A_AccountPayor,identified
COCT_MT110102,A_AccountPayor,contact
COCT_MT110200,A_AccountPayee,universal
COCT_MT110201,A_AccountPayee,identified
COCT_MT110202,A_AccountPayee,basic
COCT_MT110300,A_AccountGuarantor,universal
COCT_MT120000,A_Observation,universal
COCT_MT120100,A_ObservationDx,universal
COCT_MT120104,A_ObservationDx,minimal
COCT_MT120300,A_ObservationIntolerance,universal
COCT_MT120500,A_ObservationGeneral,universal
COCT_MT140000,E_Device,universal
COCT_MT140001,E_Device,identified
COCT_MT140007,E_Device,informational
COCT_MT150000,E_Organization,universal
COCT_MT150001,E_Organization,identified
COCT_MT150002,E_Organization,identified/confirmable
COCT_MT150003,E_Organization,contact
COCT_MT150007,E_Organization,informational
COCT_MT180000,A_Coverage,universal
COCT_MT190000,A_FinancialTransaction,universal
COCT_MT200000,A_SupportingClinicalInformation,universal
COCT_MT210000,A_OrderOptions,universal
COCT_MT220000,R_MaterialMedProductPackaged,universal
COCT_MT220001,R_MaterialMedProductPackaged,identified
